epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,873.687,0.33402,0.30998,0.00055,0.7158,0.53614,0.63729,0.42461,1.70371,6.98969,0.00446,0.000425006,0.000425006,0.000425006
58,888.64,0.30689,0.3009,0.00044,0.71952,0.51779,0.6331,0.42387,1.72166,7.2374,0.00458,0.000422096,0.000422096,0.000422096
59,903.459,0.32083,0.32288,0.00049,0.6957,0.53857,0.63769,0.42783,1.68655,7.12264,0.00445,0.000419185,0.000419185,0.000419185
60,918.207,0.32683,0.33061,0.00058,0.70679,0.53231,0.63926,0.43116,1.68739,7.14383,0.00446,0.000416275,0.000416275,0.000416275
61,933.078,0.33783,0.32563,0.00057,0.75928,0.50978,0.63767,0.42314,1.69101,7.09581,0.0044,0.000413364,0.000413364,0.000413364
62,947.818,0.32846,0.31344,0.00053,0.71504,0.53834,0.641,0.42655,1.69054,7.04494,0.00439,0.000410453,0.000410453,0.000410453
63,962.578,0.32613,0.31093,0.00048,0.72902,0.53287,0.64064,0.42636,1.69218,7.16004,0.00447,0.000407543,0.000407543,0.000407543
64,977.389,0.31259,0.31307,0.00048,0.72588,0.52515,0.63706,0.42754,1.70295,7.11478,0.00464,0.000404632,0.000404632,0.000404632
65,992.156,0.30167,0.29794,0.00044,0.70453,0.53579,0.63633,0.42593,1.70023,7.05395,0.00454,0.000401722,0.000401722,0.000401722
66,1007.01,0.29652,0.29507,0.00048,0.70388,0.53618,0.63745,0.42701,1.7065,6.86932,0.00468,0.000398811,0.000398811,0.000398811
67,1021.82,0.31432,0.31468,0.00047,0.69935,0.5442,0.63897,0.42605,1.69865,7.05771,0.0045,0.0003959,0.0003959,0.0003959
68,1036.6,0.30109,0.29598,0.00044,0.70545,0.53336,0.6386,0.42764,1.70539,7.06063,0.00452,0.00039299,0.00039299,0.00039299
69,1051.44,0.27635,0.26673,0.00045,0.72237,0.52439,0.63453,0.42373,1.7043,7.08384,0.0045,0.000390079,0.000390079,0.000390079
70,1066.14,0.29163,0.27785,0.00044,0.71281,0.53626,0.64421,0.43122,1.70363,6.90151,0.00455,0.000387169,0.000387169,0.000387169
71,1081.08,0.29273,0.28829,0.00047,0.71636,0.52771,0.63605,0.42671,1.71333,6.98256,0.0046,0.000384258,0.000384258,0.000384258
72,1095.98,0.26532,0.27376,0.00043,0.71499,0.53364,0.63688,0.43103,1.70448,7.12764,0.00455,0.000381347,0.000381347,0.000381347
73,1110.72,0.276,0.27601,0.00043,0.71157,0.54014,0.63723,0.42575,1.6918,6.99323,0.00453,0.000378437,0.000378437,0.000378437
74,1125.55,0.27645,0.27112,0.00046,0.74172,0.51919,0.64116,0.43017,1.69823,6.90466,0.00464,0.000375526,0.000375526,0.000375526
75,1140.31,0.26861,0.26242,0.00039,0.71202,0.5309,0.63782,0.4288,1.71462,6.92507,0.00476,0.000372616,0.000372616,0.000372616
76,1155.21,0.25362,0.25091,0.00043,0.7246,0.5336,0.64727,0.43567,1.69158,6.91165,0.00463,0.000369705,0.000369705,0.000369705
77,1170.21,0.26516,0.26468,0.00044,0.71645,0.5425,0.64731,0.43413,1.69138,6.89799,0.00455,0.000366794,0.000366794,0.000366794
78,1184.95,0.24446,0.25099,0.00038,0.74843,0.50973,0.64008,0.43187,1.68135,7.0372,0.00459,0.000363884,0.000363884,0.000363884
79,1199.73,0.25982,0.2501,0.00039,0.68837,0.54244,0.64127,0.43431,1.69407,7.04999,0.00468,0.000360973,0.000360973,0.000360973
80,1214.49,0.23287,0.23113,0.00036,0.7527,0.51251,0.64433,0.43381,1.70358,6.99413,0.00466,0.000358063,0.000358063,0.000358063
81,1229.39,0.24092,0.23748,0.00037,0.69126,0.53881,0.64231,0.4321,1.6866,7.05786,0.00453,0.000355152,0.000355152,0.000355152
82,1244.35,0.22252,0.23545,0.00035,0.74239,0.5214,0.64149,0.43098,1.69993,7.02729,0.00475,0.000352241,0.000352241,0.000352241
83,1259.2,0.23494,0.23761,0.00037,0.74104,0.52192,0.64437,0.43416,1.68789,7.04288,0.00464,0.000349331,0.000349331,0.000349331
84,1273.89,0.21236,0.22615,0.00037,0.77719,0.50169,0.64649,0.43462,1.70079,7.00831,0.00475,0.00034642,0.00034642,0.00034642
85,1288.83,0.2161,0.22158,0.00032,0.74746,0.51152,0.64423,0.43499,1.6856,6.94887,0.00465,0.00034351,0.00034351,0.00034351
86,1303.59,0.22939,0.24775,0.00036,0.72355,0.53087,0.64505,0.43318,1.68634,7.00201,0.00466,0.000340599,0.000340599,0.000340599
87,1318.38,0.1962,0.20173,0.00033,0.74868,0.51556,0.64672,0.43683,1.68337,6.98511,0.00464,0.000337688,0.000337688,0.000337688
88,1333.28,0.21526,0.22802,0.00039,0.7153,0.54012,0.64266,0.43509,1.69475,6.99508,0.00472,0.000334778,0.000334778,0.000334778
89,1348.1,0.21958,0.24106,0.00035,0.72377,0.52676,0.6421,0.43158,1.70303,6.98811,0.0047,0.000331867,0.000331867,0.000331867
90,1363.07,0.1977,0.21238,0.00034,0.7387,0.51597,0.63808,0.43478,1.7008,7.13123,0.00464,0.000328957,0.000328957,0.000328957
91,1378.08,0.22478,0.2254,0.00035,0.7265,0.5266,0.63994,0.43056,1.71174,6.97681,0.00464,0.000326046,0.000326046,0.000326046
92,1392.89,0.21328,0.21648,0.00032,0.73498,0.52907,0.64343,0.43278,1.69808,6.96661,0.00458,0.000323135,0.000323135,0.000323135
93,1407.92,0.19463,0.20325,0.00034,0.70509,0.5424,0.64788,0.43481,1.70397,6.96646,0.00459,0.000320225,0.000320225,0.000320225
94,1422.71,0.19677,0.20527,0.00033,0.73016,0.52848,0.64621,0.43542,1.70241,6.98363,0.00462,0.000317314,0.000317314,0.000317314
95,1437.54,0.19407,0.20233,0.00033,0.73142,0.53183,0.64456,0.43717,1.69283,7.07671,0.00461,0.000314404,0.000314404,0.000314404
96,1452.54,0.19169,0.19892,0.00032,0.74542,0.52026,0.64388,0.4304,1.71546,7.06534,0.00467,0.000311493,0.000311493,0.000311493
97,1467.38,0.20183,0.2061,0.00035,0.72001,0.53474,0.64559,0.43626,1.69007,6.97475,0.00464,0.000308582,0.000308582,0.000308582
98,1482.15,0.18542,0.20264,0.0003,0.72681,0.52692,0.64347,0.43435,1.69385,7.04568,0.00462,0.000305672,0.000305672,0.000305672
99,1496.93,0.18213,0.18858,0.00032,0.7261,0.53699,0.64888,0.43582,1.69476,7.00751,0.00458,0.000302761,0.000302761,0.000302761
100,1511.9,0.17761,0.18209,0.00031,0.71357,0.53016,0.64026,0.43152,1.70128,7.06049,0.00464,0.000299851,0.000299851,0.000299851
101,1526.87,0.18701,0.19629,0.00031,0.73504,0.52616,0.64418,0.43507,1.69561,7.1546,0.00459,0.00029694,0.00029694,0.00029694
102,1541.75,0.18352,0.18583,0.00032,0.75851,0.51155,0.64217,0.43458,1.69838,7.03773,0.00458,0.000294029,0.000294029,0.000294029
103,1556.52,0.182,0.18356,0.0003,0.72578,0.5346,0.64432,0.43467,1.70743,6.94314,0.00474,0.000291119,0.000291119,0.000291119
104,1571.36,0.16999,0.17701,0.00029,0.74237,0.52986,0.6432,0.43423,1.70073,6.96663,0.0047,0.000288208,0.000288208,0.000288208
105,1586.18,0.16523,0.17102,0.0003,0.76356,0.51758,0.64713,0.43707,1.6901,7.03051,0.0046,0.000285298,0.000285298,0.000285298
106,1601.03,0.17422,0.18481,0.0003,0.75418,0.5206,0.6442,0.43424,1.69529,6.966,0.00462,0.000282387,0.000282387,0.000282387
107,1615.76,0.15746,0.16664,0.00026,0.73218,0.53618,0.6445,0.43473,1.69307,6.95265,0.00462,0.000279476,0.000279476,0.000279476
108,1630.56,0.1626,0.17953,0.00029,0.76139,0.52608,0.64854,0.43928,1.6799,7.0526,0.00463,0.000276566,0.000276566,0.000276566
109,1645.55,0.15257,0.1633,0.00026,0.75586,0.51941,0.64477,0.43612,1.70794,6.99491,0.00483,0.000273655,0.000273655,0.000273655
110,1660.36,0.15686,0.16895,0.00028,0.72389,0.53767,0.64367,0.43541,1.70589,7.22393,0.00468,0.000270745,0.000270745,0.000270745
111,1675.34,0.15854,0.17462,0.00028,0.71819,0.53697,0.64226,0.43405,1.70004,7.24597,0.00459,0.000267834,0.000267834,0.000267834
112,1690.18,0.15446,0.16937,0.00028,0.73778,0.53699,0.64392,0.43455,1.72266,7.11019,0.00473,0.000264923,0.000264923,0.000264923
113,1704.89,0.13048,0.14286,0.00027,0.70278,0.54104,0.64436,0.43387,1.71769,7.13613,0.00473,0.000262013,0.000262013,0.000262013
114,1719.88,0.1263,0.14191,0.00024,0.73068,0.53314,0.64725,0.43765,1.71295,7.09756,0.00477,0.000259102,0.000259102,0.000259102
115,1734.84,0.15203,0.1575,0.00029,0.71199,0.54308,0.64733,0.43801,1.70557,6.98759,0.00473,0.000256192,0.000256192,0.000256192
116,1749.78,0.1383,0.15366,0.00027,0.72423,0.53923,0.64983,0.4409,1.70283,6.99182,0.00477,0.000253281,0.000253281,0.000253281
117,1764.85,0.14531,0.15427,0.00029,0.71473,0.53633,0.6521,0.43958,1.69348,7.01446,0.00473,0.00025037,0.00025037,0.00025037
118,1779.62,0.13855,0.14745,0.00027,0.71776,0.53251,0.64858,0.4391,1.68596,6.97532,0.00469,0.00024746,0.00024746,0.00024746
119,1794.31,0.14818,0.15332,0.00027,0.72821,0.52523,0.64685,0.43883,1.69007,7.04173,0.00468,0.000244549,0.000244549,0.000244549
120,1809.13,0.12458,0.13845,0.00025,0.7119,0.53811,0.64456,0.43815,1.69401,7.10433,0.00474,0.000241639,0.000241639,0.000241639
121,1823.95,0.13884,0.14878,0.00024,0.72327,0.53356,0.64299,0.43428,1.70796,7.14374,0.0048,0.000238728,0.000238728,0.000238728
122,1838.83,0.14376,0.15811,0.00025,0.72685,0.5229,0.64276,0.43633,1.72155,7.03831,0.00487,0.000235817,0.000235817,0.000235817
123,1853.76,0.13613,0.15849,0.00027,0.74456,0.51948,0.6447,0.43645,1.71169,7.09736,0.00481,0.000232907,0.000232907,0.000232907
124,1868.51,0.14179,0.15094,0.00026,0.73897,0.52486,0.64576,0.43898,1.71223,6.92604,0.00483,0.000229996,0.000229996,0.000229996
125,1883.35,0.12998,0.14645,0.00025,0.75261,0.51013,0.64246,0.43795,1.7134,7.08227,0.00483,0.000227086,0.000227086,0.000227086
126,1898.11,0.13028,0.14222,0.00024,0.71663,0.53332,0.64069,0.43424,1.72233,7.08963,0.00493,0.000224175,0.000224175,0.000224175
127,1912.82,0.11187,0.12899,0.00024,0.71713,0.52725,0.64239,0.43662,1.70455,7.08738,0.00478,0.000221264,0.000221264,0.000221264
128,1927.88,0.12364,0.13337,0.00022,0.71162,0.53319,0.64258,0.43514,1.70659,6.99453,0.00489,0.000218354,0.000218354,0.000218354
129,1942.91,0.09728,0.11743,0.00021,0.73517,0.52314,0.64289,0.43609,1.70432,7.02479,0.00479,0.000215443,0.000215443,0.000215443
130,1957.73,0.10596,0.12451,0.00024,0.72391,0.52652,0.64243,0.43535,1.69563,6.99013,0.00482,0.000212533,0.000212533,0.000212533
131,1972.46,0.10669,0.13892,0.0002,0.75162,0.5134,0.64205,0.4371,1.70229,7.05738,0.00488,0.000209622,0.000209622,0.000209622
132,1987.29,0.10448,0.12499,0.00021,0.7367,0.52035,0.64373,0.43841,1.69382,7.09027,0.00479,0.000206711,0.000206711,0.000206711
133,2002.27,0.1072,0.11712,0.0002,0.71978,0.52664,0.64466,0.43726,1.70952,7.23282,0.00482,0.000203801,0.000203801,0.000203801
134,2017.05,0.11418,0.12329,0.0002,0.73171,0.52827,0.64355,0.43631,1.71681,7.09538,0.00484,0.00020089,0.00020089,0.00020089
135,2031.85,0.12067,0.12713,0.00023,0.72623,0.52886,0.64332,0.43609,1.71256,7.12241,0.00485,0.00019798,0.00019798,0.00019798
136,2046.59,0.10051,0.12077,0.00021,0.72351,0.52903,0.64464,0.43753,1.72281,7.11242,0.00495,0.000195069,0.000195069,0.000195069
137,2061.4,0.09976,0.12481,0.00022,0.73647,0.52175,0.64604,0.43892,1.70711,7.22007,0.00482,0.000192158,0.000192158,0.000192158
138,2076.18,0.08814,0.10622,0.00021,0.72418,0.53008,0.6437,0.4372,1.69793,7.20632,0.00479,0.000189248,0.000189248,0.000189248
139,2090.89,0.09957,0.11028,0.00021,0.73968,0.52425,0.64648,0.43778,1.70074,7.02963,0.0048,0.000186337,0.000186337,0.000186337
140,2105.7,0.09224,0.11342,0.00019,0.71752,0.53156,0.64325,0.43648,1.71054,7.15423,0.0048,0.000183427,0.000183427,0.000183427
141,2120.4,0.10943,0.12539,0.00023,0.76988,0.512,0.64485,0.43788,1.7082,7.09699,0.00485,0.000180516,0.000180516,0.000180516
142,2135.32,0.11355,0.14387,0.00022,0.72534,0.52832,0.64259,0.43538,1.70144,7.01354,0.00479,0.000177605,0.000177605,0.000177605
143,2150.23,0.10222,0.12,0.00023,0.72642,0.52497,0.64032,0.43204,1.70862,6.95586,0.00488,0.000174695,0.000174695,0.000174695
144,2165.08,0.08487,0.10333,0.0002,0.76696,0.51141,0.64001,0.43327,1.71275,6.96223,0.00491,0.000171784,0.000171784,0.000171784
145,2179.88,0.073,0.09053,0.00019,0.73992,0.52238,0.6445,0.4369,1.70145,6.96017,0.00484,0.000168874,0.000168874,0.000168874
146,2194.7,0.09563,0.11662,0.00028,0.74712,0.51765,0.6401,0.43452,1.70829,6.93123,0.00487,0.000165963,0.000165963,0.000165963
147,2209.51,0.10006,0.12454,0.00022,0.7194,0.52534,0.63955,0.43349,1.71532,6.98873,0.00495,0.000163052,0.000163052,0.000163052
148,2224.42,0.09557,0.11293,0.00025,0.72411,0.52461,0.64193,0.43285,1.71207,7.00378,0.00487,0.000160142,0.000160142,0.000160142
149,2239.21,0.08723,0.10137,0.0002,0.71307,0.53011,0.64211,0.43668,1.70508,6.97783,0.00492,0.000157231,0.000157231,0.000157231
150,2254.04,0.09361,0.10735,0.0002,0.73202,0.51835,0.64148,0.43686,1.70245,6.99959,0.00494,0.000154321,0.000154321,0.000154321
151,2268.72,0.09396,0.1054,0.0002,0.73634,0.51797,0.64248,0.43534,1.71082,6.96656,0.00494,0.00015141,0.00015141,0.00015141
152,2283.61,0.08369,0.10188,0.00019,0.73649,0.52601,0.64191,0.43612,1.71384,6.99715,0.00495,0.000148499,0.000148499,0.000148499
